,LATITUDE,LONGITUDE,ALTITUDE IN,2030 Med,Damage 2030,Damage Done 30,% 30,2060 Med,Damage 2060,Damage Done 60,Damage Done 60,% 60,LOT SIZE,LIST PRICE,year,Cluster
33,25.818142,-80.183002,2.400000036,11,146650.5,6848349.5,2.096504646,21,325431.0,6669569.0,6669569.0,4.652337384,15300.0,6995000,2019,3
34,25.843098,-80.130136,3.600000143,11,188680.725,6801319.275,2.6992950639999997,21,418699.95,6571300.05,6571300.05,5.989984979,19685.0,6990000,2016,3
35,25.847898999999998,-80.123772,0.0,11,207036.0,6542964.0,3.0672,21,459432.0,6290568.0,6290568.0,6.8064,21600.0,6750000,2018,3
36,25.820894,-80.183183,1.200000018,11,300614.355,6399385.645,4.4867814180000005,21,667091.01,6032908.99,6032908.99,9.956582239,31363.0,6700000,2017,3
37,25.820452,-80.183098,3.600000143,11,346785.3,6353214.7,5.1759,21,769548.6,5930451.4,5930451.4,11.4858,36180.0,6700000,2015,3
38,25.829139,-80.130473,7.200000286,11,361689.975,6133310.025,5.568744804,21,802623.45,5692376.55,5692376.55,12.35755889,37735.0,6495000,2019,3
39,25.815732,-80.12531,39.59999943,11,396819.0,6002181.0,6.201265823,21,880578.0,5518422.0,5518422.0,13.76118143,41400.0,6399000,2019,3
40,25.824899,-80.126511,63.60000229,11,319190.085,5980809.915,5.0665092860000005,21,708312.27,5591687.73,5591687.73,11.2430519,33301.0,6300000,2018,3
41,25.816413,-80.184564,61.19999886,11,121183.155,6128816.845,1.93893048,21,268916.61,5981083.39,5981083.39,4.30266576,12643.0,6250000,2019,3
42,25.862168,-80.13025,13.20000029,11,107831.25,6092168.75,1.73921371,21,239287.5,5960712.5,5960712.5,3.8594758060000003,11250.0,6200000,2018,3
43,25.845857000000002,-80.125936,3.600000143,11,155612.475,6034387.525,2.51393336,21,345318.45,5844681.55,5844681.55,5.578650242,16235.0,6190000,2019,3
44,25.84112,-80.124146,33.59999943,11,121173.57,5957826.43,1.993314196,21,268895.34,5810104.66,5810104.66,4.423348248,12642.0,6079000,2018,3
45,25.832667,-80.124537,43.19999886,11,145059.39,5804940.61,2.437972941,21,321900.18,5628099.82,5628099.82,5.410087058999999,15134.0,5950000,2019,3
46,25.818302,-80.130546,3.600000143,11,90175.68,5859824.32,1.5155576469999998,21,200108.16,5749891.84,5749891.84,3.3631623530000003,9408.0,5950000,2019,3
47,25.818237,-80.184087,38.40000057,11,159772.365,5790227.635,2.685249832,21,354549.63,5595450.37,5595450.37,5.958817311000001,16669.0,5950000,2018,3
48,25.820966000000002,-80.181498,0.0,11,134956.8,5815043.2,2.268181513,21,299481.6,5650518.4,5650518.4,5.033304202,14080.0,5950000,2018,3
49,25.833616,-80.123621,45.59999943,11,150561.18,5499438.82,2.664799646,21,334109.16,5315890.84,5315890.84,5.91343646,15708.0,5650000,2019,3
50,25.824285999999997,-80.128345,46.80000114,11,149526.0,5450474.0,2.670107143,21,331812.0,5268188.0,5268188.0,5.925214286,15600.0,5600000,2019,3
51,25.844927,-80.123234,8.399999857000001,11,155277.0,5344723.0,2.8232181819999997,21,344574.0,5155426.0,5155426.0,6.264981818,16200.0,5500000,2019,3
52,25.850847,-80.17223800000001,3.600000143,11,92495.25,5407504.75,1.681731818,21,205255.5,5294744.5,5294744.5,3.731918182,9650.0,5500000,2018,3
53,25.852292000000002,-80.173677,7.200000286,11,240200.1,5209799.9,4.407341284,21,533026.2,4916973.8,4916973.8,9.780297248,25060.0,5450000,2019,3
54,25.832411999999998,-80.123886,33.59999943,11,102517.6733,5197482.327,1.9342957230000002,21,227496.1828,5072503.817,5072503.817,4.292380807,10695.63624,5300000,2019,3
55,25.809452,-80.12787900000001,43.19999886,11,287550.0,4707450.0,5.756756757000001,21,638100.0,4356900.0,4356900.0,12.77477477,30000.0,4995000,2019,3
56,25.836681,-80.124475,33.59999943,11,97709.49,4852290.51,1.973929091,21,216826.38,4733173.62,4733173.62,4.3803309089999996,10194.0,4950000,2019,3
57,25.831626999999997,-80.180926,48.0,11,280840.5,4669159.5,5.673545455,21,623211.0,4326789.0,4326789.0,12.59012121,29300.0,4950000,2019,3
58,25.837615,-80.131757,12.0,11,163903.5,4736096.5,3.344969388,21,363717.0,4536283.0,4536283.0,7.422795917999999,17100.0,4900000,2019,3
59,25.819018,-80.131258,8.399999857000001,11,141599.205,4648400.795,2.956142067,21,314221.71,4475778.29,4475778.29,6.559952192000001,14773.0,4790000,2019,3
60,25.850226,-80.13504300000001,4.800000072,11,129809.655,4570190.345,2.761907553,21,288059.61,4411940.39,4411940.39,6.128927872,13543.0,4700000,2019,3
61,25.850094,-80.17245,3.600000143,11,86667.57,4613332.43,1.843990851,21,192323.34,4507676.66,4507676.66,4.0919859569999995,9042.0,4700000,2019,3
62,25.849370999999998,-80.140046,3.600000143,11,109173.15,4490826.85,2.373329348,21,242265.3,4357734.7,4357734.7,5.266636957,11390.0,4600000,2018,3
63,25.862045000000002,-80.130075,12.0,11,107831.25,4392168.75,2.39625,21,239287.5,4260712.5,4260712.5,5.3175,11250.0,4500000,2018,3
64,25.83693,-80.124477,33.59999943,11,109038.96,4280961.04,2.483803189,21,241967.52,4148032.48,4148032.48,5.51178861,11376.0,4390000,2019,3
65,25.816105,-80.18708000000001,102.0,11,183677.355,4166322.645,4.222467931000001,21,407597.01,3942402.99,3942402.99,9.370046207,19163.0,4350000,2019,3
66,25.836543,-80.13115400000001,13.20000029,11,71887.5,4203112.5,1.681578947,21,159525.0,4115475.0,4115475.0,3.731578947,7500.0,4275000,2019,3
67,25.808882,-80.12801,43.19999886,11,191700.0,3807300.0,4.793698425,21,425400.0,3573600.0,3573600.0,10.63765941,20000.0,3999000,2019,3
68,25.847566,-80.127836,39.59999943,11,131793.75,3667206.25,3.469169518,21,292462.5,3506537.5,3506537.5,7.698407476,13750.0,3799000,2017,3
69,25.811087,-80.12663,43.19999886,11,167737.5,3582262.5,4.473,21,372225.0,3377775.0,3377775.0,9.926,17500.0,3750000,2018,3
70,25.842342000000002,-80.127185,34.80000114,11,90290.7,3559709.3,2.473717808,21,200363.4,3449636.6,3449636.6,5.4894082189999995,9420.0,3650000,2019,3
71,25.842173000000003,-80.122884,12.0,11,102517.6733,3397482.327,2.9290763810000002,21,227496.1828,3272503.817,3272503.817,6.499890936,10695.63624,3500000,2017,3
72,25.825727,-80.129826,36.0,11,92734.875,3386265.125,2.665561224,21,205787.25,3273212.75,3273212.75,5.915126473,9675.0,3479000,2019,3
