type	latitude	longitude	altitude (ft)	eos	name
T	25.859934000	-80.130628000	0.5		
T	25.855497000	-80.133671000	0.4		
T	25.844651000	-80.120029000	3.5		
T	25.844816000	-80.180617000	2.4		
T	25.840683000	-80.179561000	3.6		
T	25.840144000	-80.181596000	5.7		
T	25.860132000	-80.186704000	7.0		
T	25.840006000	-80.131371000	1.4		
T	25.815098000	-80.193659000	13.0		
T	25.845956000	-80.159690000	0.5		
T	25.859460000	-80.173805000	2.9		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.860383000	-80.133187000	1.8		
T	25.839538000	-80.180355000	3.8		
T	25.852804000	-80.177728000	8.4		
T	25.846841000	-80.158372000	1.9		
T	25.860112000	-80.187370000	6.6		
T	25.849929000	-80.139558000	0.7		
T	25.813153000	-80.191714000	13.9		
T	25.830677000	-80.186137000	12.9		
T	25.851889000	-80.135758000	3.3		
T	25.843603000	-80.180603000	4.4		
T	25.861595000	-80.173962000	3.6		
T	25.841320000	-80.179971000	4.8		
T	25.855374000	-80.193103000	5.0		
T	25.813153000	-80.191714000	13.9		
T	25.850227000	-80.174117000	0.7		
T	25.844776000	-80.183740000	4.7		
T	25.844688000	-80.179517000	2.4		
T	25.858784000	-80.176671000	6.0		
T	25.860077000	-80.140185000	1.4		
T	25.855374000	-80.193103000	5.0		
T	25.843675000	-80.179971000	4.3		
T	25.863152000	-80.192825000	7.1		
T	25.844797000	-80.181261000	2.2		
T	25.859895000	-80.141857000	0.6		
T	25.816211000	-80.137914000	1.7		
T	25.816530000	-80.134446000	1.8		
T	25.843581000	-80.181214000	4.4		
T	25.860661000	-80.134663000	0.4		
T	25.839782000	-80.183491000	8.5		
T	25.816562000	-80.193797000	13.5		
T	25.855374000	-80.193103000	5.0		
T	25.863152000	-80.192825000	7.1		
T	25.843137000	-80.181812000	3.3		
T	25.839492000	-80.182103000	5.9		
T	25.859985000	-80.131651000	3.4		
T	25.851391000	-80.183732000	6.7		
T	25.855374000	-80.193103000	5.0		
T	25.841228000	-80.183365000	7.3		
T	25.823485000	-80.184435000	6.9		
T	25.851395000	-80.136019000	3.4		
T	25.861725000	-80.179060000	8.5		
T	25.854351000	-80.175009000	2.2		
T	25.840727000	-80.177978000	3.0		
T	25.857677000	-80.177799000	7.1		
T	25.855374000	-80.193103000	5.0		
T	25.859978000	-80.128522000	-0.1		
T	25.855374000	-80.193103000	5.0		
T	25.856238000	-80.173869000	1.6		
T	25.839080000	-80.182924000	8.2		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.858470000	-80.191399000	4.7		
T	25.854653000	-80.144462000	1.1		
T	25.863152000	-80.192825000	7.1		
T	25.846710000	-80.157341000	0.3		
T	25.840519000	-80.183528000	8.4		
T	25.826115000	-80.128738000	3.4		
T	25.851164000	-80.137944000	2.7		
T	25.859358000	-80.177957000	8.0		
T	25.842085000	-80.180212000	5.3		
T	25.842819000	-80.180374000	5.0		
T	25.845195000	-80.153689000	0.3		
T	25.858099000	-80.191454000	4.7		
T	25.822526000	-80.183875000	5.1		
T	25.860291000	-80.193979000	7.5		
T	25.860574000	-80.137268000	0.9		
T	25.857388000	-80.127387000	0.3		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.863152000	-80.192825000	7.1		
T	25.852491000	-80.132743000	1.7		
T	25.855374000	-80.193103000	5.0		
T	25.858533000	-80.189343000	5.9		
T	25.855374000	-80.193103000	5.0		
T	25.837163000	-80.182435000	7.0		
T	25.854547000	-80.188839000	9.0		
T	25.812834000	-80.130107000	2.9		
T	25.851332000	-80.182491000	8.2		
T	25.863152000	-80.192825000	7.1		
T	25.848046000	-80.157942000	2.8		
T	25.852086000	-80.181683000	8.2		
T	25.855593000	-80.181246000	7.2		
T	25.846130000	-80.157863000	1.1		
T	25.850657000	-80.175758000	1.9		
T	25.840858000	-80.183045000	7.7		
T	25.860571000	-80.132021000	2.9		
T	25.818049000	-80.194064000	13.8		
T	25.856258000	-80.178067000	6.6		
T	25.829302000	-80.181482000	4.5		
T	25.849907000	-80.138883000	0.8		
T	25.850779000	-80.138547000	2.1		
T	25.815840000	-80.192406000	12.1		
T	25.859173000	-80.128486000	0.3		
T	25.844479000	-80.180295000	3.2		
T	25.851523000	-80.134098000	1.7		
T	25.837476000	-80.183490000	8.5		
T	25.857275000	-80.127006000	0.3		
T	25.841709000	-80.176653000	1.6		
T	25.845924000	-80.158645000	1.3		
T	25.851462000	-80.135887000	3.5		
T	25.860279000	-80.136173000	1.3		
T	25.855374000	-80.193103000	5.0		
T	25.845734000	-80.152495000	0.3		
T	25.843931000	-80.182009000	3.3		
T	25.824000000	-80.183838000	6.6		
T	25.863152000	-80.192825000	7.1		
T	25.863152000	-80.192825000	7.1		
T	25.822892000	-80.187228000	10.7		
T	25.860757000	-80.173996000	2.9		
T	25.813153000	-80.191714000	13.9		
T	25.851459000	-80.175459000	1.7		
T	25.844992000	-80.157815000	0.3		
T	25.843256000	-80.177876000	2.5		
T	25.816825000	-80.192448000	12.6		
T	25.848989000	-80.182470000	5.8		
T	25.839873000	-80.179974000	3.7		
T	25.843600000	-80.180766000	4.4		
T	25.855374000	-80.193103000	5.0		
T	25.842355000	-80.181806000	4.9		
T	25.845805000	-80.150260000	0.3		
T	25.842776000	-80.181798000	4.0		
T	25.855832000	-80.137695000	1.6		
T	25.841008000	-80.177764000	3.1		
T	25.813153000	-80.191714000	13.9		
T	25.854006000	-80.188642000	10.4		
T	25.850314000	-80.139877000	1.2		
T	25.818117000	-80.191138000	11.9		
T	25.851262000	-80.136843000	3.3		
T	25.858575000	-80.188239000	7.0		
T	25.843511000	-80.183322000	4.9		
T	25.855374000	-80.193103000	5.0		
T	25.863152000	-80.192825000	7.1		
T	25.849816000	-80.177501000	5.0		
T	25.856597000	-80.191553000	4.3		
T	25.860186000	-80.180680000	8.2		
T	25.858598000	-80.175846000	4.0		
T	25.843621000	-80.180174000	4.4		
T	25.846660000	-80.154628000	0.3		
T	25.844793000	-80.185145000	8.4		
T	25.859317000	-80.179667000	8.5		
T	25.842096000	-80.179893000	5.2		
T	25.860441000	-80.140062000	0.7		
T	25.855374000	-80.193103000	5.0		
T	25.844403000	-80.158580000	0.3		
T	25.842738000	-80.182705000	4.1		
T	25.840231000	-80.178671000	2.4		
T	25.859141000	-80.187882000	7.0		
T	25.843131000	-80.126041000	2.9		
T	25.840163000	-80.180955000	4.9		
T	25.861616000	-80.182718000	10.1		
T	25.845852000	-80.153708000	0.3		
T	25.851122000	-80.183723000	6.9		
T	25.846935000	-80.157350000	0.5		
T	25.842937000	-80.176385000	0.6		
T	25.858671000	-80.177259000	6.8		
T	25.863152000	-80.192825000	7.1		
T	25.813153000	-80.191714000	13.9		
T	25.847051000	-80.152543000	0.3		
T	25.849847000	-80.176183000	2.2		
T	25.855374000	-80.193103000	5.0		
T	25.844896000	-80.152802000	0.3		
T	25.855374000	-80.193103000	5.0		
T	25.813153000	-80.191714000	13.9		
T	25.851895000	-80.134188000	2.4		
T	25.813153000	-80.191714000	13.9		
T	25.855374000	-80.193103000	5.0		
T	25.860180000	-80.141148000	0.5		
T	25.851111000	-80.137463000	2.6		
T	25.854341000	-80.133940000	1.7		
T	25.861856000	-80.192262000	5.9		
T	25.855774000	-80.173637000	1.2		
T	25.844783000	-80.181857000	2.4		
T	25.824993000	-80.186258000	10.7		
T	25.855374000	-80.193103000	5.0		
T	25.846550000	-80.152861000	0.3		
T	25.863152000	-80.192825000	7.1		
T	25.843268000	-80.177399000	1.9		
T	25.843175000	-80.180722000	4.9		
T	25.850675000	-80.175138000	1.3		
T	25.844794000	-80.181410000	2.2		
T	25.845524000	-80.153698000	0.3		
T	25.846676000	-80.153732000	0.3		
T	25.863152000	-80.192825000	7.1		
T	25.855374000	-80.193103000	5.0		
T	25.813153000	-80.191714000	13.9		
T	25.853616000	-80.130642000	0.8		
T	25.860220000	-80.127963000	0.0		
T	25.860179000	-80.180894000	8.2		
T	25.825493000	-80.184257000	7.9		
T	25.813153000	-80.191714000	13.9		
T	25.859978000	-80.128522000	-0.1		
T	25.860850000	-80.192988000	6.1		
T	25.855374000	-80.193103000	5.0		
T	25.860842000	-80.132259000	1.8		
T	25.854284000	-80.194051000	3.3		
T	25.844697000	-80.154200000	0.3		
T	25.846172000	-80.154253000	0.3		
T	25.842971000	-80.176628000	1.0		
T	25.846004000	-80.154247000	0.3		
T	25.846027000	-80.153366000	0.3		
T	25.841532000	-80.183441000	6.8		
T	25.853003000	-80.136936000	2.2		
T	25.850300000	-80.139702000	1.2		
T	25.852920000	-80.135259000	3.3		
T	25.813153000	-80.191714000	13.9		
T	25.851146000	-80.177277000	4.1		
T	25.859877000	-80.175740000	8.5		
T	25.861163000	-80.172412000	1.8		
T	25.860165000	-80.128293000	-0.1		
T	25.863152000	-80.192825000	7.1		
T	25.842396000	-80.180493000	5.3		
T	25.844776000	-80.183740000	4.7		
T	25.845691000	-80.180014000	0.3		
T	25.845865000	-80.153361000	0.3		
T	25.841627000	-80.179792000	5.0		
T	25.855765000	-80.173941000	1.5		
T	25.844820000	-80.180462000	2.4		
T	25.853336000	-80.134706000	2.6		
T	25.857272000	-80.126948000	0.3		
T	25.854053000	-80.177253000	8.3		
T	25.846504000	-80.154265000	0.3		
T	25.862052000	-80.186244000	7.5		
T	25.843244000	-80.187375000	8.2		
T	25.846785000	-80.157344000	0.3		
T	25.840601000	-80.182584000	7.5		
T	25.844008000	-80.178868000	3.4		
T	25.829420000	-80.186683000	13.4		
T	25.855374000	-80.193103000	5.0		
T	25.855598000	-80.181008000	7.5		
T	25.861865000	-80.192040000	5.9		
T	25.855374000	-80.193103000	5.0		
T	25.854865000	-80.134166000	0.8		
T	25.851429000	-80.178795000	5.7		
T	25.839113000	-80.186928000	8.5		
T	25.863152000	-80.192825000	7.1		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.859910000	-80.177566000	7.9		
T	25.855462000	-80.134826000	0.3		
T	25.855374000	-80.193103000	5.0		
T	25.857163000	-80.191896000	4.4		
T	25.846129000	-80.150272000	0.3		
T	25.849027000	-80.180466000	3.5		
T	25.855526000	-80.181795000	7.2		
T	25.843880000	-80.183337000	3.9		
T	25.819751000	-80.191411000	13.0		
T	25.842425000	-80.179555000	4.8		
T	25.851619000	-80.134599000	2.7		
T	25.861846000	-80.124417000	2.1		
T	25.845874000	-80.186867000	4.2		
T	25.854778000	-80.191263000	5.5		
T	25.855374000	-80.193103000	5.0		
T	25.863152000	-80.192825000	7.1		
T	25.855374000	-80.193103000	5.0		
T	25.813153000	-80.191714000	13.9		
T	25.855374000	-80.193103000	5.0		
T	25.823334000	-80.134939000	0.6		
T	25.858442000	-80.192187000	4.9		
T	25.863152000	-80.192825000	7.1		
T	25.857278000	-80.188594000	7.6		
T	25.846052000	-80.152843000	0.3		
T	25.845412000	-80.151973000	0.3		
T	25.845899000	-80.159431000	0.7		
T	25.856193000	-80.190140000	7.1		
T	25.839791000	-80.183122000	8.4		
T	25.845332000	-80.149386000	0.3		
T	25.863152000	-80.192825000	7.1		
T	25.850569000	-80.176793000	2.9		
T	25.846763000	-80.151166000	0.3		
T	25.855374000	-80.193103000	5.0		
T	25.847026000	-80.153401000	0.3		
T	25.813153000	-80.191714000	13.9		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.856552000	-80.135855000	1.4		
T	25.855374000	-80.193103000	5.0		
T	25.854500000	-80.190558000	7.3		
T	25.850379000	-80.140218000	1.3		
T	25.813153000	-80.191714000	13.9		
T	25.856279000	-80.136358000	2.2		
T	25.855374000	-80.193103000	5.0		
T	25.840971000	-80.179123000	3.7		
T	25.853066000	-80.136794000	2.1		
T	25.841674000	-80.178004000	3.7		
T	25.846763000	-80.151166000	0.3		
T	25.839516000	-80.181197000	4.0		
T	25.839023000	-80.183387000	8.8		
T	25.854346000	-80.133013000	2.2		
T	25.843972000	-80.180463000	4.0		
T	25.841891000	-80.187167000	8.4		
T	25.841283000	-80.181326000	5.7		
T	25.841624000	-80.179949000	5.1		
T	25.840958000	-80.179575000	3.9		
T	25.854283000	-80.133149000	2.3		
T	25.855374000	-80.193103000	5.0		
T	25.846277000	-80.159448000	0.7		
T	25.855374000	-80.193103000	5.0		
T	25.845814000	-80.149906000	0.3		
T	25.851824000	-80.135213000	3.6		
T	25.860622000	-80.183831000	12.9		
T	25.853775000	-80.132891000	2.9		
T	25.855374000	-80.193103000	5.0		
T	25.855887000	-80.182302000	7.0		
T	25.845751000	-80.151984000	0.3		
T	25.819891000	-80.193052000	14.0		
T	25.832184000	-80.181228000	4.5		
T	25.833127000	-80.181910000	6.5		
T	25.850696000	-80.135483000	1.7		
T	25.844687000	-80.154551000	0.3		
T	25.858521000	-80.189789000	5.3		
T	25.849288000	-80.181828000	6.0		
T	25.854679000	-80.133262000	1.8		
T	25.813153000	-80.191714000	13.9		
T	25.851216000	-80.135260000	2.7		
T	25.843926000	-80.182145000	3.3		
T	25.849031000	-80.180255000	4.0		
T	25.856666000	-80.189668000	7.1		
T	25.841693000	-80.177280000	2.9		
T	25.844593000	-80.183802000	5.3		
T	25.855374000	-80.193103000	5.0		
T	25.851434000	-80.176372000	2.6		
T	25.849322000	-80.180045000	3.4		
T	25.853714000	-80.129789000	0.3		
T	25.813153000	-80.191714000	13.9		
T	25.855374000	-80.193103000	5.0		
T	25.850975000	-80.177860000	8.5		
T	25.854109000	-80.174307000	1.6		
T	25.843980000	-80.180155000	4.0		
T	25.853856000	-80.135690000	1.4		
T	25.855085000	-80.134503000	0.4		
T	25.851334000	-80.174515000	1.2		
T	25.853640000	-80.175900000	2.9		
T	25.846164000	-80.154610000	0.3		
T	25.861579000	-80.183641000	9.9		
T	25.863152000	-80.192825000	7.1		
T	25.841277000	-80.181550000	6.2		
T	25.863152000	-80.192825000	7.1		
T	25.844718000	-80.153320000	0.3		
T	25.854104000	-80.134331000	1.9		
T	25.863152000	-80.192825000	7.1		
T	25.854096000	-80.174579000	1.6		
T	25.849828000	-80.177010000	2.9		
T	25.850411000	-80.174126000	0.7		
T	25.859115000	-80.188616000	6.3		
T	25.851585000	-80.177115000	3.5		
T	25.863152000	-80.192825000	7.1		
T	25.852514000	-80.135800000	3.3		
T	25.858142000	-80.187313000	8.2		
T	25.850629000	-80.135630000	1.7		
T	25.853926000	-80.131588000	2.0		
T	25.843698000	-80.178705000	3.6		
T	25.863152000	-80.192825000	7.1		
T	25.855374000	-80.193103000	5.0		
T	25.818812000	-80.193083000	13.8		
T	25.859574000	-80.186953000	7.4		
T	25.842795000	-80.181184000	5.4		
T	25.854747000	-80.191876000	3.8		
T	25.855875000	-80.177681000	7.9		
T	25.816637000	-80.190056000	10.0		
T	25.843148000	-80.181499000	4.4		
T	25.850476000	-80.181353000	6.3		
T	25.861123000	-80.182591000	9.9		
T	25.846226000	-80.152513000	0.3		
T	25.857272000	-80.188742000	7.3		
T	25.829431000	-80.186367000	12.8		
T	25.852193000	-80.176828000	3.0		
T	25.852605000	-80.160273000	0.3		
T	25.855374000	-80.193103000	5.0		
T	25.863152000	-80.192825000	7.1		
T	25.863152000	-80.192825000	7.1		
T	25.863152000	-80.192825000	7.1		
T	25.852121000	-80.137164000	3.2		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.843185000	-80.180416000	4.9		
T	25.863152000	-80.192825000	7.1		
T	25.863152000	-80.192825000	7.1		
T	25.861111000	-80.183611000	12.6		
T	25.857156000	-80.126805000	0.3		
T	25.853631000	-80.176078000	3.1		
T	25.840965000	-80.179353000	3.9		
T	25.853515000	-80.131132000	1.4		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.861374000	-80.179175000	8.5		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.845783000	-80.150778000	0.3		
T	25.852173000	-80.177301000	4.5		
T	25.853483000	-80.132767000	2.9		
T	25.841529000	-80.183593000	6.9		
T	25.851194000	-80.137781000	2.8		
T	25.861421000	-80.181636000	8.2		
T	25.863152000	-80.192825000	7.1		
T	25.846464000	-80.150284000	0.3		
T	25.854477000	-80.134821000	0.8		
T	25.855374000	-80.193103000	5.0		
T	25.841338000	-80.179298000	4.4		
T	25.854467000	-80.132726000	2.1		
T	25.854504000	-80.190813000	6.2		
T	25.841357000	-80.178608000	4.0		
T	25.845945000	-80.150784000	0.3		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.856637000	-80.190465000	5.7		
T	25.845992000	-80.186021000	3.6		
T	25.860628000	-80.180650000	8.2		
T	25.839573000	-80.179710000	3.4		
T	25.850712000	-80.136383000	2.5		
T	25.850296000	-80.138296000	1.5		
T	25.844653000	-80.159070000	0.3		
T	25.840172000	-80.180647000	4.5		
T	25.860614000	-80.184072000	11.7		
T	25.852779000	-80.180234000	8.2		
T	25.840200000	-80.179730000	3.1		
T	25.851083000	-80.139502000	2.4		
T	25.853168000	-80.131032000	1.1		
T	25.846736000	-80.152018000	0.3		
T	25.846431000	-80.151154000	0.3		
T	25.857883000	-80.127870000	0.1		
T	25.840177000	-80.180495000	4.4		
T	25.817401000	-80.190297000	10.7		
T	25.846245000	-80.152001000	0.3		
T	25.854407000	-80.192008000	3.3		
T	25.849737000	-80.180814000	3.4		
T	25.856357000	-80.181649000	7.4		
T	25.837491000	-80.183657000	8.8		
T	25.853755000	-80.173569000	0.8		
T	25.846504000	-80.154265000	0.3		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.851966000	-80.135624000	3.3		
T	25.852552000	-80.140419000	2.1		
T	25.863152000	-80.192825000	7.1		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.863152000	-80.192825000	7.1		
T	25.861985000	-80.188220000	6.6		
T	25.841403000	-80.185615000	7.2		
T	25.855374000	-80.193103000	5.0		
T	25.852779000	-80.143124000	0.3		
T	25.850608000	-80.179424000	3.9		
T	25.855374000	-80.193103000	5.0		
T	25.837175000	-80.181523000	5.5		
T	25.855374000	-80.193103000	5.0		
T	25.856277000	-80.177684000	6.5		
T	25.852939000	-80.137403000	2.2		
T	25.855824000	-80.133821000	0.3		
T	25.863152000	-80.192825000	7.1		
T	25.851165000	-80.181360000	8.2		
T	25.854323000	-80.177558000	8.0		
T	25.855641000	-80.189260000	8.2		
T	25.862237000	-80.128297000	0.7		
T	25.850851000	-80.137876000	2.2		
T	25.859278000	-80.180926000	8.0		
T	25.853066000	-80.136794000	2.1		
T	25.855828000	-80.189268000	8.2		
T	25.850673000	-80.177198000	3.7		
T	25.845964000	-80.150266000	0.3		
T	25.853676000	-80.175158000	2.2		
T	25.855374000	-80.193103000	5.0		
T	25.863152000	-80.192825000	7.1		
T	25.863152000	-80.192825000	7.1		
T	25.860838000	-80.128704000	0.1		
T	25.851386000	-80.183887000	6.6		
T	25.837485000	-80.183335000	8.4		
T	25.845560000	-80.186396000	4.7		
T	25.853702000	-80.129971000	0.3		
T	25.857522000	-80.176423000	4.9		
T	25.849346000	-80.179279000	5.6		
T	25.847078000	-80.151691000	0.3		
T	25.857366000	-80.175718000	3.7		
T	25.819520000	-80.190188000	11.5		
T	25.855263000	-80.190866000	8.4		
T	25.845938000	-80.157855000	0.9		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.863152000	-80.192825000	7.1		
T	25.839521000	-80.181015000	3.8		
T	25.851692000	-80.136169000	3.3		
T	25.853208000	-80.136524000	2.0		
T	25.851564000	-80.179413000	3.9		
T	25.849034000	-80.180084000	4.3		
T	25.855374000	-80.193103000	5.0		
T	25.860641000	-80.179882000	8.2		
T	25.853888000	-80.188961000	11.7		
T	25.845616000	-80.186924000	4.8		
T	25.855374000	-80.193103000	5.0		
T	25.847099000	-80.151177000	0.3		
T	25.847496000	-80.177574000	3.2		
T	25.837924000	-80.185901000	8.2		
T	25.839052000	-80.185880000	8.0		
T	25.860490000	-80.188236000	6.2		
T	25.851895000	-80.134188000	2.4		
T	25.863152000	-80.192825000	7.1		
T	25.846473000	-80.149931000	0.3		
T	25.856647000	-80.191264000	4.4		
T	25.855374000	-80.193103000	5.0		
T	25.863152000	-80.192825000	7.1		
T	25.850770000	-80.180677000	3.3		
T	25.853453000	-80.129812000	0.3		
T	25.857279000	-80.126642000	0.5		
T	25.854436000	-80.191713000	3.3		
T	25.849314000	-80.180432000	3.3		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.863152000	-80.192825000	7.1		
T	25.855374000	-80.193103000	5.0		
T	25.863152000	-80.192825000	7.1		
T	25.860621000	-80.179501000	8.4		
T	25.846129000	-80.150272000	0.3		
T	25.849441000	-80.174679000	1.1		
T	25.858411000	-80.178489000	8.2		
T	25.852549000	-80.136575000	3.0		
T	25.854966000	-80.177232000	8.4		
T	25.841396000	-80.185460000	7.1		
T	25.863152000	-80.192825000	7.1		
T	25.852447000	-80.180074000	7.5		
T	25.857229000	-80.187573000	8.2		
T	25.854755000	-80.191728000	4.0		
T	25.849832000	-80.176850000	2.7		
T	25.854001000	-80.189037000	12.4		
T	25.852389000	-80.134954000	3.5		
T	25.855374000	-80.193103000	5.0		
T	25.842919000	-80.185972000	8.5		
T	25.851464000	-80.175254000	1.4		
T	25.854037000	-80.175612000	2.9		
T	25.863152000	-80.192825000	7.1		
T	25.863152000	-80.192825000	7.1		
T	25.856280000	-80.187844000	8.2		
T	25.846964000	-80.149950000	0.3		
T	25.848660000	-80.176813000	2.3		
T	25.856322000	-80.183176000	6.9		
T	25.837172000	-80.182127000	6.3		
T	25.851407000	-80.179408000	3.7		
T	25.847350000	-80.152823000	0.3		
T	25.851397000	-80.183568000	6.9		
T	25.842014000	-80.186407000	8.3		
T	25.855374000	-80.193103000	5.0		
T	25.863152000	-80.192825000	7.1		
T	25.849317000	-80.180263000	3.3		
T	25.849824000	-80.177173000	3.1		
T	25.813153000	-80.191714000	13.9		
T	25.851431000	-80.182722000	7.9		
T	25.850027000	-80.181888000	7.6		
T	25.845669000	-80.180652000	0.6		
T	25.836818000	-80.120261000	3.1		
T	25.855374000	-80.193103000	5.0		
T	25.857529000	-80.192106000	4.6		
T	25.863152000	-80.192825000	7.1		
T	25.849972000	-80.158691000	0.3		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.863152000	-80.192825000	7.1		
T	25.854299000	-80.178175000	7.2		
T	25.851178000	-80.180860000	5.5		
T	25.855798000	-80.189813000	8.1		
T	25.849730000	-80.181143000	3.9		
T	25.855374000	-80.193103000	5.0		
T	25.863152000	-80.192825000	7.1		
T	25.855374000	-80.193103000	5.0		
T	25.845094000	-80.151626000	0.3		
T	25.840238000	-80.178437000	2.4		
T	25.849073000	-80.178776000	7.7		
T	25.858009000	-80.127655000	0.3		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.857608000	-80.127373000	0.3		
T	25.809009000	-80.189350000	10.5		
T	25.856318000	-80.183323000	6.8		
T	25.853665000	-80.132353000	2.6		
T	25.856340000	-80.182392000	6.9		
T	25.853764000	-80.178846000	6.4		
T	25.854565000	-80.189611000	9.3		
T	25.860803000	-80.177785000	8.2		
T	25.855374000	-80.193103000	5.0		
T	25.854382000	-80.192310000	3.3		
T	25.857221000	-80.187263000	8.2		
T	25.849748000	-80.180309000	3.3		
T	25.859701000	-80.180540000	8.2		
T	25.850750000	-80.181544000	8.1		
T	25.851701000	-80.176099000	2.3		
T	25.853545000	-80.132627000	2.9		
T	25.839323000	-80.120389000	3.6		
T	25.863152000	-80.192825000	7.1		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.863152000	-80.192825000	7.1		
T	25.854706000	-80.177724000	8.0		
T	25.844714000	-80.186064000	7.5		
T	25.849710000	-80.182060000	7.5		
T	25.858330000	-80.187322000	8.2		
T	25.851085000	-80.139196000	2.5		
T	25.834744000	-80.185773000	10.5		
T	25.840084000	-80.183543000	8.5		
T	25.859924000	-80.128365000	0.1		
T	25.863152000	-80.192825000	7.1		
T	25.855374000	-80.193103000	5.0		
T	25.778873000	-80.335197000	5.2		
T	25.863152000	-80.192825000	7.1		
T	25.844950000	-80.150749000	0.3		
T	25.853731000	-80.137683000	0.7		
T	25.857115000	-80.190639000	4.9		
T	25.852612000	-80.136439000	3.0		
T	25.847047000	-80.152878000	0.3		
T	25.863152000	-80.192825000	7.1		
T	25.846914000	-80.151686000	0.3		
T	25.854558000	-80.134695000	0.9		
T	25.840062000	-80.187002000	8.5		
T	25.839856000	-80.185581000	8.0		
T	25.854739000	-80.192022000	3.5		
T	25.855474000	-80.184071000	6.2		
T	25.855374000	-80.193103000	5.0		
T	25.853623000	-80.176234000	3.3		
T	25.840443000	-80.187418000	8.2		
T	25.813153000	-80.191714000	13.9		
T	25.852631000	-80.191053000	3.6		
T	25.863152000	-80.192825000	7.1		
T	25.854551000	-80.188687000	9.0		
T	25.813153000	-80.191714000	13.9		
T	25.856215000	-80.189669000	7.5		
T	25.851622000	-80.136308000	3.3		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.846108000	-80.150790000	0.3		
T	25.842330000	-80.185951000	8.5		
T	25.851187000	-80.180523000	4.1		
T	25.854603000	-80.182255000	6.6		
T	25.816939000	-80.190184000	10.2		
T	25.855374000	-80.193103000	5.0		
T	25.853445000	-80.180200000	8.2		
T	25.839126000	-80.186308000	8.2		
T	25.855374000	-80.193103000	5.0		
T	25.813153000	-80.191714000	13.9		
T	25.850502000	-80.179983000	3.3		
T	25.861928000	-80.179072000	8.5		
T	25.840149000	-80.184939000	8.4		
T	25.853926000	-80.181045000	7.1		
T	25.843787000	-80.186186000	8.5		
T	25.855061000	-80.120047000	3.5		
T	25.855374000	-80.193103000	5.0		
T	25.851083000	-80.139502000	2.4		
T	25.855374000	-80.193103000	5.0		
T	25.848964000	-80.183313000	5.5		
T	25.851173000	-80.181023000	6.4		
T	25.844916000	-80.187282000	6.5		
T	25.856280000	-80.187844000	8.2		
T	25.849284000	-80.182001000	6.5		
T	25.837130000	-80.185709000	8.2		
T	25.777737000	-80.329371000	5.9		
T	25.851078000	-80.190518000	4.2		
T	25.813153000	-80.191714000	13.9		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.863152000	-80.192825000	7.1		
T	25.857691000	-80.127529000	0.3		
T	25.856278000	-80.188718000	8.2		
T	25.855470000	-80.184404000	6.4		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.855374000	-80.193103000	5.0		
T	25.834707000	-80.186931000	8.7		
T	25.855374000	-80.193103000	5.0		
T	25.832855000	-80.120950000	4.2		
T	25.855534000	-80.180591000	7.5		
T	25.853119000	-80.133441000	3.3		
T	25.857220000	-80.126808000	0.3		
T	25.863152000	-80.192825000	7.1		
T	25.855053000	-80.157618000	0.3		
T	25.845155000	-80.146631000	0.3		
T	25.859284000	-80.128526000	0.3		
T	25.855374000	-80.193103000	5.0		
T	25.863152000	-80.192825000	7.1		
T	25.853336000	-80.134706000	2.6		
T	25.851416000	-80.191021000	4.1		
T	25.852717000	-80.132316000	1.8		
T	25.863152000	-80.192825000	7.1		
T	25.851931000	-80.189608000	3.5		
T	25.842941000	-80.185212000	8.5		
