type	latitude	longitude	altitude (ft)	eos	name
T	25.809759000	-80.129039000	2.7		
T	25.844454000	-80.181325000	3.1		
T	25.844828000	-80.126335000	1.0		
T	25.827052000	-80.127098000	3.6		
T	25.822100000	-80.183340000	4.3		
T	25.819467000	-80.187329000	7.5		
T	25.831033000	-80.124706000	2.4		
T	25.827008000	-80.128630000	2.9		
T	25.856957000	-80.171767000	0.3		
T	25.825784000	-80.128125000	3.9		
T	25.843231000	-80.125677000	2.5		
T	25.810712000	-80.130565000	1.8		
T	25.828809000	-80.121399000	3.8		
T	25.816811000	-80.192863000	12.8		
T	25.829821000	-80.121153000	3.8		
T	25.839772000	-80.182350000	6.9		
T	25.854129000	-80.138328000	0.3		
T	25.828176000	-80.130996000	0.3		
T	25.818904000	-80.135224000	1.6		
T	25.856951000	-80.171976000	0.3		
T	25.813153000	-80.191714000	13.9		
T	25.828308000	-80.130887000	0.4		
T	25.810085000	-80.131385000	0.7		
T	25.823653000	-80.133806000	0.8		
T	25.813153000	-80.191714000	13.9		
T	25.813153000	-80.191714000	13.9		
T	25.831099000	-80.183845000	9.1		
T	25.820311000	-80.128329000	1.3		
T	25.820194000	-80.187210000	7.7		
T	25.854738000	-80.141841000	0.5		
T	25.857550000	-80.174737000	3.0		
T	25.840248000	-80.130549000	2.4		
T	25.815848000	-80.192177000	12.1		
T	25.842180000	-80.176429000	1.0		
T	25.830673000	-80.181942000	6.1		
T	25.820111000	-80.128919000	1.0		
T	25.861286000	-80.128717000	-0.0		
T	25.822550000	-80.136019000	0.3		
T	25.834401000	-80.185607000	11.0		
T	25.829780000	-80.125100000	3.9		
T	25.825432000	-80.185122000	8.9		
T	25.859527000	-80.188321000	6.4		
T	25.858681000	-80.129400000	0.3		
T	25.839179000	-80.130861000	2.9		
T	25.815763000	-80.126457000	3.0		
T	25.832245000	-80.182447000	7.4		
T	25.858985000	-80.175181000	4.9		
T	25.827039000	-80.127569000	3.6		
T	25.858296000	-80.129125000	0.3		
T	25.826660000	-80.184240000	8.3		
T	25.829019000	-80.184578000	7.9		
T	25.818652000	-80.132916000	2.3		
