,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
32,Physical Attack,2014,5/8/2014,1:00 AM,5/8/2014,1:01 AM,Clarksdale Public Utilities,Mississippi,SERC,Unknown,Unknown,"vandalism, physical"
33,Climate Change,2014,4/30/2014,3:50 AM,4/30/2014,2:00 PM,Southern Company,"Alabama, Florida, Georgia",SERC,296,"89,000","severe weather, thunderstorm"
34,Climate Change,2014,4/29/2014,11:30 PM,4/29/2014,12:30 PM,Southern Company,"Mississippi, Alabama",SERC,355,"106,648","severe weather, thunderstorm"
35,Climate Change,2014,4/29/2014,9:37 AM,5/1/2014,9:00 AM,Tennessee Valley Authority,"Northeastern Mississippi, Northern Alabama",SERC,Unknown,"57,000","severe weather, thunderstorm"
36,Electrical System Separation (Islanding),2014,4/27/2014,9:15 AM,Unknown,Unknown,Peak Reliability,"Alberta, Canada",WECC,9750,"4,000,000",islanding
37,Vandalism,2014,4/27/2014,12:07 PM,4/27/2014,12:09 PM,PacifiCorp,"Albany, Oregon",WECC,Unknown,Unknown,"vandalism, physical"
38,Vandalism,2014,4/25/2014,7:00 AM,4/25/2014,7:30 AM,Delmarva Power & Light Company,Delaware,RFC,Unknown,Unknown,"vandalism, physical"
39,Electrical System Separation (Islanding),2014,4/24/2014,3:02 PM,4/24/2014,5:13 PM,Peak Reliability,"Alberta, Canada",WECC,Unknown,Unknown,islanding
40,Load shedding of 100 Megawatts,2014,4/23/2014,7:45 PM,4/23/2014,8:37 PM,MISO / Entergy Transmission,"Baton Rouge, Louisiana",SERC,163,"28,000",load shedding
41,Severe Weather,2014,4/12/2014,8:00 PM,4/15/2014,7:30 PM,Detroit Edison Company,Michigan,RFC,Unknown,"164,000",severe weather
42,Climate Change,2014,4/12/2014,6:15 PM,4/14/2014,9:00 AM,Consumers Energy,Western and Central Michigan,RFC,Unknown,"50,000","severe weather, thunderstorm"
43,Vandalism,2014,4/8/2014,1:00 PM,4/8/2014,1:01 PM,"Western Area Power Administration, Sierra Nevada Region","Davis, California",WECC,Unknown,Unknown,"vandalism, physical"
