,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
430,Climate Change,2012,6/11/2012,7:50 PM,6/12/2012,3:00 PM,Southern Company,North/Central Alabama; North/Central Georgia,SERC,368,"110,591","severe weather, thunderstorm"
431,Load Shed,2012,6/8/2012,5:20 PM,6/8/2012,5:25 PM,Public Service Company of Colorado,"Denver Metro Area, Colorado",WECC,120,"30,379",load shedding
432,Vandalism,2012,6/6/2012,12:37 PM,6/6/2012,12:37 PM,Potomac Electric Power Company (PEPCO),"Columbia Heights, NW, Washington DC",RFC,0,0,vandalism
433,Vandalism,2012,6/6/2012,8:00 AM,6/6/2012,8:00 AM,New York Power Authority,"Delhi, New York",NPCC,,,vandalism
434,Vandalism,2012,6/2/2012,7:30 AM,6/2/2012,11:35 AM,Pacific Gas and Electric Company,"San Francisco, California",WECC,,,vandalism
435,Physical Attack,2012,5/31/2012,11:45 PM,6/1/2012,4:30 AM,American Electric Power (AEP),"Columbus, Ohio",RFC,0,0,"vandalism, physical"
436,Physical Attack,2012,5/29/2012,6:30 PM,5/29/2012,7:40 PM,Tacoma Power (TPWR),"Alder Dam, Pierce County, Washington",WECC,,,"vandalism, physical"
437,Climate Change,2012,5/29/2012,8:35 PM,5/31/2012,10:00 AM,Oklahoma Gas & Electric,"Oklahoma City Metro Area, Oklahoma",SPP,UNK,"112,000","severe weather, thunderstorm"
438,Physical Attack,2012,5/24/2012,3:20 PM,5/25/2012,5:29 PM,ISO New England,"Tyngsborough, Massachusetts",NPCC,UNK,UNK,"vandalism, physical"
439,Vandalism,2012,5/11/2012,11:05 AM,5/11/2012,11:20 AM,Tacoma Power (TPWR),"Lakewood, Washington",WECC,,,vandalism
440,Load Shed/Severe Weather  - Lightning Storm,2012,5/7/2012,5:45 PM,5/7/2012,6:06 PM,American Electric Power (AEP),Eastern Ohio,RFC,420,1,"load shedding, severe weather, thunderstorm"
441,Vandalism,2012,5/7/2012,12:50 PM,5/7/2012,2:00 PM,ISO New England,"Williston, Vermont",NPCC,0,0,vandalism
442,Suspected Physical Attack,2012,4/23/2012,11:56 AM,4/23/2012,3:35 PM,Seattle City Light,"Snohomish County, Washington",WECC,,,"vandalism, physical"
443,Suspected Physical Attack,2012,4/23/2012,8:11 AM,4/23/2012,12:47 PM,Northern Indiana Public Service Company (NIPSCO),Northwest Indiana,RFC,,,"vandalism, physical"
444,Physical Attack,2012,4/21/2012,3:02 PM,4/21/2012,8:09 PM,ISO New England,"East Bridgewater, Massachusetts",NPCC,,,"vandalism, physical"
445,Suspected Physical Attack,2012,4/21/2012,8:55 PM,4/23/2012,4:30 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical"
446,Climate Change,2012,4/20/2012,2:27 PM,4/21/2012,4:27 AM,CenterPoint Energy,"Metropolitan Houston, Texas",TRE,,"120,377","severe weather, thunderstorm"
447,Suspected Physical Attack,2012,4/19/2012,7:53 AM,4/19/2012,4:00 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical"
448,Suspected Physical Attack,2012,4/17/2012,6:11 AM,4/17/2012,5:48 PM,San Diego Gas & Electric Company,"San Diego County, California",WECC,0,0,"vandalism, physical"
449,Severe Weather - High Winds,2012,4/16/2012,3:46 PM,4/19/2012,2:00 AM,"Detroit Edison, Subsidiary of DTE Energy","Southeast, Michigan",RFC,218,"111,393","severe weather, wind"
450,Suspected Physical Attack,2012,4/15/2012,7:38 PM,4/15/2012,9:26 PM,Southern Company,Georgia,SERC,UNK,UNK,"vandalism, physical"
451,Suspected Physical Attack,2012,4/12/2012,8:08 AM,4/12/2012,4:30 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical"
452,Vandalism,2012,4/11/2012,9:00 AM,4/11/2012,9:00 AM,North Attleborough Electric Department,"North Attleboro, Massachusetts",NPCC,0,0,vandalism
453,Physical Attack,2012,4/7/2012,2:35 PM,4/7/2012,2:36 PM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
454,Physical Attack,2012,4/7/2012,12:25 PM,4/7/2012,12:26 PM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
455,Physical Attack,2012,4/7/2012,9:31 AM,4/7/2012,9:32 AM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
456,Suspected Physical Attack,2012,4/4/2012,3:32 PM,4/6/2012,3:30 PM,Western Area Power Authority - Sierra Nevada Region (WASN),"WAPA-SNR Regional Office, California",WECC,,,"vandalism, physical"
457,Physical Attack,2012,4/3/2012,3:33 PM,4/3/2012,8:25 PM,Seattle City Light,"Seattle, Washington",WECC,0,0,"vandalism, physical"
458,Vandalism,2012,4/3/2012,11:10 AM,4/3/2012,11:25 AM,ISO New England,"West Rutland, Vermont",NPCC,0,0,vandalism
459,Vandalism,2012,4/1/2012,8:27 PM,4/3/2012,8:28 AM,Mid American Energy Company,"Council Bluffs, Iowa",MRO,0,0,vandalism
460,Suspected Physical Attack,2012,3/30/2012,11:10 AM,3/30/2012,11:30 AM,ISO New England,Vermont,NPCC,,,"vandalism, physical"
461,Electrical System Separation (Islanding),2012,3/29/2012,12:01 PM,3/29/2012,12:02 PM,Lansing Board of Water & Light,"Lansing, Michigan",RFC,UNK,0,islanding
462,Suspected Physical Attack,2012,3/28/2012,10:17 AM,3/28/2012,10:17 AM,Tacoma Power (TPWR),"Graham, Washington",WECC,,,"vandalism, physical"
463,Suspected Physical Attack,2012,3/26/2012,1:24 PM,3/26/2012,1:24 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical"
464,Suspected Physical Attack,2012,3/23/2012,7:34 PM,3/23/2012,7:34 PM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
465,Climate Change,2012,3/20/2012,8:00 AM,3/20/2012,1:00 PM,CenterPoint Energy,"Houston, Texas",TRE,,"96,000","severe weather, thunderstorm"
466,Suspected Physical Attack,2012,3/16/2012,4:00 PM,3/16/2012,4:00 PM,Delmarva Power & Light Company,"New Castle, Delaware",RFC,0,0,"vandalism, physical"
467,Suspected Physical Attack,2012,3/4/2012,1:38 PM,3/5/2012,11:00 AM,Entergy Corporation,Texas,SERC,UNK,UNK,"vandalism, physical"
468,Suspected Physical Attack,2012,3/4/2012,1:27 AM,3/4/2012,6:58 AM,Potomac Electric Power (Pepco Holdings Inc.),"Prince Georges County, Maryland",RFC,,,"vandalism, physical"
469,Severe Weather - Winter Storm,2012,3/2/2012,9:00 PM,3/4/2012,5:30 PM,Consumers Energy,"Lower Peninsula, Michigan",RFC,50,"140,000","severe weather, winter storm"
470,Severe Weather - Winter Storm,2012,3/2/2012,9:00 PM,3/5/2012,4:30 PM,"Detroit Edison, Subsidiary of DTE Energy","Southeastern, Michigan",RFC,371,"130,000","severe weather, winter storm"
471,Operational Failure/Equipment Malfunction,2012,3/2/2012,1:45 PM,3/2/2012,3:30 PM,"City of Piggott, Arkansas","Piggott, Arkansas",SERC,,,equipment failure
472,Severe Weather - Tornadoes,2012,3/2/2012,12:37 PM,3/5/2012,12:01 PM,Tennessee Valley Authority (TVA),Northern Alabama; Southeast Tennessee,SERC,500,UNK,"severe weather, tornado"
473,Suspected Physical Attack,2012,2/28/2012,7:00 AM,2/28/2012,7:00 AM,Coos Curry Electric Cooperative,Coos County Oregon,WECC,UNK,UNK,"vandalism, physical"
474,Electrical System Separation (Islanding),2012,2/28/2012,2:59 AM,2/28/2012,6:12 AM,Pacific Gas and Electric,"Sacramento, California",WECC,1,1,islanding
475,Suspected Physical Attack,2012,2/24/2012,11:24 AM,2/24/2012,11:49 AM,Tacoma Power (TPWR),"Spanaway, Washington",WECC,,,"vandalism, physical"
476,Suspected Physical Attack,2012,2/23/2012,5:45 AM,2/23/2012,3:02 PM,City of College Station,"South East College Station, Texas",TRE,0,0,"vandalism, physical"
477,Suspected Physical Attack,2012,2/23/2012,11:12 PM,2/24/2012,1:00 AM,ISO New England,"Londonderry, New Hampshire",NPCC,0,0,"vandalism, physical"
478,Severe Weather - Winter Storm,2012,2/19/2012,5:00 PM,2/21/2012,7:33 AM,American Electric Power,"Kentucky, Virginia, West Virginia",SERC,UNK,"90,000","severe weather, winter storm"
479,Suspected Cyber Attack,2012,2/17/2012,3:00 AM,2/17/2012,11:33 AM,"Entergy Services, Inc","Little Rock, Arkansas",SERC,UNK,UNK,"vandalism, cyber"
480,Suspected Physical Attack,2012,2/15/2012,5:33 AM,2/15/2012,5:30 PM,Puget Sound Energy,"Port Orchard, Washington",WECC,0,0,"vandalism, physical"
481,Suspected Physical Attack,2012,2/14/2012,7:20 PM,2/15/2012,4:00 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical"
482,Suspected Physical Attack,2012,2/13/2012,7:02 AM,2/13/2012,4:25 PM,Progress Energy Carolinas,"Asheville, North Carolina",SERC,,,"vandalism, physical"
483,Suspected Physical Attack,2012,2/11/2012,8:47 AM,2/11/2012,10:30 AM,Xcel Energy (Public Service Company of Colorado),"Lamar, Colorado",WECC,0,0,"vandalism, physical"
484,Suspected Physical Attack,2012,2/11/2012,8:55 AM,2/11/2012,8:55 AM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical"
485,Vandalism,2012,1/29/2012,12:45 PM,1/29/2012,12:45 PM,Tacoma Power (TPWR),"Roosevelt Substation, Tacoma, Washington",WECC,,,vandalism
486,Vandalism,2012,1/27/2012,9:40 AM,1/27/2012,9:40 AM,Tacoma Power (TPWR),"Frederickson Substation, Spanaway, Washington",WECC,,,vandalism
487,Vandalism,2012,1/24/2012,11:22 AM,1/24/2012,11:22 AM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,vandalism
488,Severe Weather - Winter Storm,2012,1/19/2012,7:00 AM,1/20/2012,3:00 PM,Puget Sound Energy,"King, Pierce and Thurston Counties, Washington",WECC,"1,600","426,000","severe weather, winter storm"
489,Suspected Cyber Attack,2012,1/17/2012,10:31 AM,1/17/2012,5:21 PM,"Pedernales Electric Cooperative, Inc.","Austin, Texas",TRE,,0,"vandalism, cyber"
490,Vandalism,2012,1/15/2012,9:35 AM,1/15/2012,9:35 AM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,vandalism
491,Physical Attack,2012,1/13/2012,9:20 AM,1/13/2012,9:20 AM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
492,Physical Attack,2012,1/12/2012,8:26 AM,1/12/2012,8:26 AM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
493,Suspected Physical Attack,2012,1/11/2012,7:19 AM,1/11/2012,9:07 AM,Nevada Power Company (NV Energy),Nevada,WECC,0,0,"vandalism, physical"
494,Load Shed,2012,1/10/2012,9:30 PM,1/10/2012,9:30 PM,Luminant Energy Company LLC,"Rusk County, Texas",TRE,,,load shedding
495,Vandalism,2012,1/9/2012,2:30 PM,1/9/2012,3:30 PM,ISO New England/Convex,"Watertown, Connecticut",NPCC,,,vandalism
496,Load Shed,2012,1/9/2012,1:36 PM,1/11/2012,1:05 AM,The Dow Chemical Company,Louisiana,SERC,150,1,load shedding
497,Sabotage,2012,1/5/2012,10:35 AM,1/5/2012,12:25 PM,American Electric Power,"CSWS/AEP West territory, Oklahoma",SPP,0,0,vandalism
498,Suspected physical attack,2012,1/5/2012,10:28 AM,1/5/2012,12:25 PM,Oklahoma Gas and Electric,"Creek County, Oklahoma",SPP,,,"vandalism, physical"
499,Suspected physical attack,2012,1/4/2012,12:14 PM,1/4/2012,12:14 PM,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical"
500,Suspected Physical Attack,2011,12/31/2011,9:26 PM,12/31/2011,9:26 PM,City of Tacoma (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical"
501,Suspected Cyber Attack,2011,12/21/2011,10:30 AM,12/21/2011,10:30 AM,Idaho Power Company,"Boise, Idaho",WECC,0,0,"vandalism, cyber"
502,Suspected Physical Attack,2011,12/20/2011,9:30 AM,12/20/2011,9:31 AM,City of Tacoma (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical"
503,Suspected Physical Attack,2011,12/20/2011,7:45 AM,12/20/2011,8:45 AM,PacifiCorp,"Sweet Home, Oregon",WECC,12,"2,500","vandalism, physical"
504,Suspected Physical Attack,2011,12/19/2011,8:48 AM,12/19/2011,4:00 PM,City of Tacoma (TPWR),"Croft Substation, Tacoma, Washington",WECC,,,"vandalism, physical"
505,Suspected Physical Attack,2011,12/13/2011,3:19 AM,12/14/2011,3:19 AM,Dayton Power & Light,Clinton County Ohio,RFC,,0,"vandalism, physical"
506,Suspected Physical Attack,2011,12/8/2011,8:45 AM,12/8/2011,4:30 PM,City of Tacoma (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical"
507,Severe Weather,2011,12/7/2011,7:29 PM,12/7/2011,10:57 PM,Dominion Virginia Power,Central Virginia,SERC,240,"60,000",severe weather
508,Public Appeal to Reduce Electricity Usage,2011,12/6/2011,8:00 AM,12/6/2011,8:00 PM,Montana Dakota Utilities,"Bismarck-Mandan, North Dakota",MRO,155,"34,500",public appeal
509,Suspected Physical Attack,2011,12/6/2011,5:38 PM,12/7/2011,11:04 AM,ITC Holdings,"Montague, Michigan",RFC,0,0,"vandalism, physical"
510,Suspected Physical Attack,2011,12/5/2011,2:00 PM,12/6/2011,5:00 PM,City of Tacoma (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical"
511,Suspected Physical Attack,2011,12/2/2011,4:15 PM,12/2/2011,8:30 PM,Luminant Energy Company LLC,Rusk County Texas,TRE,,,"vandalism, physical"
512,Severe Weather,2011,12/1/2011,12:45 AM,12/7/2011,9:00 PM,Southern California Edison (SCE),Southern California,WECC,UNK,"91,690",severe weather
513,Severe Weather,2011,12/1/2011,10:00 AM,12/2/2011,1:11 PM,PacifiCorp,Wasatch Front Area Utah,WECC,UNK,"60,000",severe weather
514,Severe Weather,2011,12/1/2011,3:29 AM,12/2/2011,1:05 PM,Pacific Gas and Electric,Northern California,WECC,300,"100,000",severe weather
515,Vandalism,2011,11/30/2011,10:00 AM,11/30/2011,11:00 AM,City of Tacoma - TPWR,"Orchard Substation, Washington",WECC,0,0,vandalism
516,Severe Weather,2011,11/30/2011,4:56 PM,12/2/2011,10:00 AM,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,UNK,"150,000",severe weather
517,Suspected Physical Attack,2011,11/22/2011,11:16 PM,11/22/2011,11:16 PM,Northern Indiana Public Service Co,Indiana,RFC,0,0,"vandalism, physical"
518,Vandalism,2011,11/14/2011,2:24 PM,11/14/2011,2:24 PM,Atlantic City Electric,"McKee, New Jersey",RFC,0,0,vandalism
519,Vandalism,2011,11/13/2011,11:30 AM,11/13/2011,12:00 PM,ISO New England / obo Public Service of New Hampshire,"Cate Road, Deerfield, New Hampshire",NPCC,0,0,vandalism
520,Vandalism,2011,11/4/2011,10:46 AM,11/4/2011,10:46 AM,PacifiCorp,"Sweetwater County, Wyoming",WECC,0,0,vandalism
521,Severe Weather,2011,10/29/2011,12:57 PM,11/3/2011,11:00 PM,PPL Electric Utilities,"Harrisburg, Lehigh Valley, Lancaster Region Pennsylvania",RFC,UNK,"146,721",severe weather
522,Severe Weather,2011,10/29/2011,4:16 PM,11/2/2011,9:30 PM,"Consolidated Edison Company of NY, Inc",New York City area,NPCC,UNK,"50,000",severe weather
523,Severe Weather,2011,10/29/2011,8:00 PM,10/31/2011,8:00 PM,"Orange and Rockland Utilities, Inc",New Jersey; New York,"NPCC, RFC",,"74,000",severe weather
524,Severe Weather,2011,10/29/2011,8:59 AM,11/7/2011,7:58 PM,Metropolitan Edison Company,Pennsylvania,RFC,UNK,"312,359",severe weather
525,Severe Weather,2011,10/29/2011,4:14 PM,11/7/2011,4:00 PM,ISO New England,Connecticut; Maine; Massachusetts; New Hampshire; Rhode Island,NPCC,UNK,"1,418,100",severe weather
526,Severe Weather,2011,10/29/2011,8:59 AM,11/7/2011,3:00 PM,Potomac Edison,Pennsylvania,RFC,UNK,"50,000",severe weather
527,Severe Weather,2011,10/29/2011,2:00 PM,10/31/2011,14:00,Exelon Corporation/PECO,Southeast Pennsylvania,RFC,UNK,"109,335",severe weather
528,Severe Weather,2011,10/29/2011,9:59 AM,11/7/2011,1:00 PM,Jersey Central Power & Light Company,Northwest and Central New Jersey,RFC,UNK,"379,000",severe weather
529,Severe Weather,2011,10/29/2011,2:30 PM,11/6/2011,12:00 PM,Public Service Electric and Gas Company,New Jersey,RFC,125,"197,000",severe weather
530,Severe Weather,2011,10/29/2011,3:00 PM,11/2/2011,8:15 AM,Central Hudson Gas & Electric Corp.,"Mid-Hudson Valley Region, New York",NPCC,,"145,000",severe weather
531,Severe Weather,2011,10/29/2011,11:18 AM,11/4/2011,12:00 AM,New York State Elec & Gas Corp,Southeast New York,NPCC,UNK,"161,151",severe weather
532,Vandalism,2011,10/27/2011,1:00 AM,10/27/2011,2:36 AM,Midwest ISO,"Munster, Indiana",RFC,,,vandalism
533,Severe Weather,2011,10/26/2011,5:00 AM,10/27/2011,3:00 PM,Public Service Company of Colorado,"Denver; Ft. Collins, Colorado",WECC,UNK,"204,000",severe weather
534,Suspected Physical Attack,2011,10/24/2011,11:37 PM,10/26/2011,11:00 PM,PJM Interconnection,"Holmesburg Substation, Philadelphia, Pennsylvania",RFC,0,0,"vandalism, physical"
535,Vandalism,2011,10/20/2011,7:15 AM,10/20/2011,7:15 AM,Atlantic City Electric,"McKee, New Jersey",RFC,0,0,vandalism
536,Suspected Physical Attack,2011,10/18/2011,3:45 AM,10/18/2011,5:25 AM,PECO Energy,"Holmesburg Substation, Philadelphia, Pennsylvania",RFC,0,0,"vandalism, physical"
537,Vandalism,2011,10/17/2011,3:44 PM,10/17/2011,3:44 PM,Duke Energy,Southwest Ohio,RFC,7,"2,000",vandalism
538,Vandalism,2011,10/17/2011,3:34 AM,10/17/2011,10:42 AM,Potomac Electric Power Company,"Seat Pleasant, Maryland",RFC,0,0,vandalism
539,Vandalism,2011,10/14/2011,2:20 PM,10/14/2011,2:20 PM,Atlantic City Electric,"English Creek, New Jersey",RFC,0,0,vandalism
540,Suspected Physical Attack,2011,10/7/2011,8:04 AM,10/7/2011,4:00 PM,City of Tacoma - TPWR,"Olympic Pipeline, Spanaway, Washington",WECC,,,"vandalism, physical"
541,Vandalism,2011,10/6/2011,11:07 AM,10/6/2011,11:07 AM,PacifiCorp,"Oquirrh Substation, Utah",WECC,0,0,vandalism
542,Suspected Physical Attack,2011,9/30/2011,8:22 AM,9/30/2011,8:22 AM,Delmarva Power & Light Company,"Wilmington, Delaware",RFC,0,0,"vandalism, physical"
543,Vandalism,2011,9/29/2011,6:44 PM,9/30/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Tacoma, Washington",WECC,,,vandalism
544,Severe Weather,2011,9/29/2011,5:00 AM,9/30/2011,6:00 AM,CenterPoint Energy,"Houston metro area, Texas",TRE,,65000,severe weather
545,Suspected Physical Attack,2011,9/28/2011,4:41 PM,9/28/2011,4:41 PM,Delmarva Power & Light Company,"Bethany Beach, Delaware",RFC,0,0,"vandalism, physical"
546,Vandalism,2011,9/28/2011,2:59 PM,9/28/2011,2:59 PM,Atlantic City Electric,"Dorothy, New Jersey",RFC,0,0,vandalism
547,Vandalism,2011,9/28/2011,9:30 AM,9/28/2011,1:00 PM,ISO New England/Convex,"Watertown, Connecticut",NPCC,,,vandalism
548,Vandalism,2011,9/26/2011,10:15 AM,9/26/2011,10:15 AM,Atlantic City Electric,"McKee City, New Jersey",RFC,0,0,vandalism
549,Vandalism,2011,9/24/2011,4:17 PM,9/25/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Tacoma, Washington",WECC,,,vandalism
550,Vandalism,2011,9/23/2011,9:04 AM,9/23/2011,9:04 AM,The United Illuminating Company,"North Haven, Connecticut",NPCC,0,0,vandalism
551,Vandalism,2011,9/22/2011,2:50 PM,9/22/2011,2:51 PM,Dayton Power & Light,"Montgomery County, Ohio",RFC,,0,vandalism
552,Mechanical_fault,2011,9/21/2011,2:37 PM,9/21/2011,3:47 PM,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,600,"319,616",load shedding
553,Suspected Physical Attack,2011,9/21/2011,10:30 AM,9/21/2011,10:30 AM,Delmarva Power & Light Company,"Hockessin, Delaware",RFC,0,0,"vandalism, physical"
554,Vandalism,2011,9/20/2011,12:55 PM,9/20/2011,5:00 PM,City of Tacoma (TPWR),"Lacamas Substaion, Washington",WECC,,,vandalism
555,Vandalism,2011,9/14/2011,9:00 AM,9/14/2011,2:00 PM,PacifiCorp,"Salt Lake County, Utah",WECC,0,0,vandalism
556,Vandalism,2011,9/13/2011,2:03 PM,9/13/2011,6:21 PM,New York Power Authority,"Saranac, New York",NPCC,,0,vandalism
557,Vandalism,2011,9/13/2011,11:43 AM,9/14/2011,4:00 PM,City of Tacoma (TPWR),"Lacamas Substation, Roy, Washington",WECC,,,vandalism
558,Vandalism,2011,9/12/2011,9:15 AM,9/12/2011,3:30 PM,Atlantic City Electric,"English Creek, New Jersey",RFC,0,0,vandalism
559,Vandalism,2011,9/8/2011,7:53 PM,9/9/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Tacoma, Washington",WECC,,,vandalism
560,Mechanical_fault,2011,9/8/2011,3:28 PM,9/10/2011,3:30 PM,WECC Reliability Coordinator,Arizona; California,WECC,"7,000","2,000,000","transmission interruption, distribution interruption"
561,Actual Physical Attack,2011,9/7/2011,12:08 AM,9/7/2011,10:50 AM,ISO New England,Western Connecticut; New York,NPCC,0,0,"vandalism, physical"
562,Severe Weather,2011,9/5/2011,4:30 PM,9/7/2011,3:45 PM,Southern Company,Alabama; Georgia,SERC,177,"53,295",severe weather
563,Severe Weather,2011,9/3/2011,2:00 PM,9/8/2011,6:00 PM,"Detroit Edison, Subsidiary of DTE Energy","Southeast Lower Peninsula, Michigan",RFC,UNK,"105,000",severe weather
564,Vandalism,2011,9/1/2011,8:13 AM,9/1/2011,4:00 PM,City of Tacoma (TPWR),"Graham Substaion, Washington",WECC,,,vandalism
565,Suspected Physical Attack,2011,8/31/2011,12:52 PM,8/31/2011,12:52 PM,Duke Energy,Southwest Ohio,RFC,0,0,"vandalism, physical"
566,Suspected Physical Attack,2011,8/28/2011,8:55 PM,8/28/2011,11:39 PM,PacifiCorp,"Calapooya Substation, Oregon",WECC,0,0,"vandalism, physical"
567,Severe Weather,2011,8/28/2011,12:30 PM,8/28/2011,12:31 PM,"Orange and Rockland Utilities, Inc.",New York,NPCC,,"116,000",severe weather
568,Severe Weather,2011,8/28/2011,12:10 PM,8/28/2011,12:11 PM,ISO New England,Eastern Massachusetts,NPCC,,"50,000",severe weather
569,Severe Weather,2011,8/28/2011,7:40 AM,8/29/2011,7:40 AM,The United illuminating Company,Southwest Connecticut,NPCC,,"158,000",severe weather
570,Severe Weather,2011,8/28/2011,5:01 AM,9/3/2011,5:01 AM,"Consolidated Edison Company of NY, Inc.",Borough's and Westshester County New York,NPCC,,50000,severe weather
571,Severe Weather,2011,8/28/2011,5:00 AM,8/30/2011,5:00 AM,Long Island Power Authority,"Long Island, New York",NPCC,UNK,"152,261",severe weather
572,Severe Weather,2011,8/28/2011,2:58 AM,8/30/2011,2:58 AM,PPL Electric Utilities,Eastern and Northeastern Pennsylvania,RFC,110,"284,000",severe weather
573,Severe Weather,2011,8/28/2011,12:30 AM,8/30/2011,12:30 AM,FirstEnergy Corp: Jersey Central Power & Light,Northern and Central New Jersey,RFC,,"650,000",severe weather
574,Severe Weather,2011,8/28/2011,12:23 AM,8/30/2011,12:23 AM,Public Service Electric and Gas Company,New Jersey,RFC,500,"665,000",severe weather
575,Severe Weather,2011,8/28/2011,7:00 AM,9/3/2011,12:01 AM,New York State Electric & Gas Corporation,New York,NPCC,UNK,"99,700",severe weather
576,Severe Weather,2011,8/28/2011,9:42 AM,8/30/2011,12:01 AM,Niagara Mohawk Power Corporation,Eastern New York,NPCC,,"100,000",severe weather
577,Severe Weather,2011,8/28/2011,12:01 AM,8/30/2011,12:01 AM,Central Hudson Gas & Electric,"Mid-Hudson, New York",NPCC,,"180,000",severe weather
578,Severe Weather,2011,8/27/2011,8:30 PM,9/4/2011,11:30 PM,Baltimore Gas and Electric Company,Maryland,RFC,"1,114","760,113",severe weather
579,Severe Weather,2011,8/27/2011,2:57 AM,8/29/2011,11:30 PM,Progress Energy Carolinas,Eastern North Carolina,SERC,UNK,"285,465",severe weather
580,Severe Weather,2011,8/27/2011,10:00 PM,8/29/2011,10:00 PM,Exelon Corporation / PECO,Pennsylvania,RFC,,"264,000",severe weather
581,Severe Weather,2011,8/27/2011,10:00 PM,8/29/2011,4:00 PM,Atlantic City Electric Company,Southern New Jersey,RFC,320,"140,000",severe weather
582,Severe Weather,2011,8/27/2011,11:05:00 p.m.,8/29/2011,3:30 PM,Pepco,District of Columbia; Maryland,RFC,,"220,000",severe weather
583,Severe Weather,2011,8/27/2011,10:33 AM,8/29/2011,2:00 PM,Dominion Virginia Power,North Carolina; Virginia,SERC,UNK,"1,000,000",severe weather
584,Severe Weather,2011,8/27/2011,7:00 PM,8/29/2011,1:31 PM,North Carolina Eastern Municipal Power Agency,Eastern North Carolina,SERC,200,"136,000",severe weather
585,Severe Weather,2011,8/27/2011,1:00 PM,8/29/2011,1:00 PM,Delmarva Power & Light Company,Delaware; Maryland,RFC,,"165,000",severe weather
586,Severe Weather,2011,8/27/2011,11:00 PM,8/29/2011,8:00 AM,Southern Maryland Electric Cooperative (SMECO),Maryland,RFC,UNK,"108,000",severe weather
587,Distribution System Interruption,2011,8/27/2011,2:00 AM,8/27/2011,5:15 AM,Town of Stantonsburg JRO,Wilson County North Carolina,SERC,2,"1,200",distribution interruption
588,Severe Weather,2011,8/26/2011,12:30 AM,8/28/2011,12:30 AM,FirstEnergy Corp: Metropolitan Edison Company,Pennsylvania,RFC,,"200,717",severe weather
589,Severe Weather,2011,8/25/2011,12:30 AM,8/28/2011,8:00 PM,FirstEnergy Corp: Cleveland Electric Illuminating Company,"Cleveland area, Ohio",RFC,,"107,833",severe weather
590,Suspected Physical Attack,2011,8/25/2011,12:01 AM,8/25/2011,12:01 AM,Central Maine Power Company,Maine,NPCC,0,0,"vandalism, physical"
591,Severe Weather,2011,8/24/2011,2:51 PM,8/24/2011,10:00 PM,American Electric Power (AEP),"Arkansas, Louisiana, Texas",SPP,,"53,064",severe weather
592,Public Appeal to Reduce Electricity Usage,2011,8/24/2011,1:20 PM,8/29/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal
593,Severe Weather,2011,8/24/2011,7:45 AM,8/25/2011,6:00 AM,CenterPoint Energy,"Houston area, Texas",TRE,485,"79,000",severe weather
594,Public Appeal to Reduce Electricity Usage,2011,8/23/2011,3:43 PM,8/23/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal
595,Public Appeal to Reduce Electricity Usage,2011,8/23/2011,10:30 AM,8/23/2011,4:54 PM,Southwestern Public Service Company,"Southeastern New Mexico,  Texas Panhandle",SPP,0,0,public appeal
596,Earthquake,2011,8/23/2011,1:51 PM,8/23/2011,1:51 PM,Dominion Virginia Power,Virginia,RFC,0,0,earthquake
597,Suspected Physical Attack,2011,8/22/2011,10:05 AM,8/22/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Washington",WECC,,,"vandalism, physical"
